commit	component_content_hash	fixture_hash	primary_score_median	primary_score_stdev	n_runs	status	diagnostic_json	description
a34579ca42d529f53603a5910da8708c2550093d	9e8d634d53f9c1496112dd1dfec462fba6b29f691b490807ada35345f0c6a9f8	6a2d273ce04d9061c9aff33080b905332083ab94151d516d082e5a58cbb764e2	1.0	0.0	1	ok	"{""n_runs"":1,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""extras_hits"":[],""extras_penalty"":0.0,""extras_raw"":0.0,""files"":{""missing"":[],""present"":0,""total"":0,""vacuous"":true},""forbidden"":{""hits"":[],""vacuous"":false},""latency_ms"":101090,""lock"":{""lock_present"":false},""route"":{""credit"":1.0,""expected"":""zero-substance"",""observed"":""zero-substance""},""scorer_version"":""v1"",""sections"":{""hits"":0,""total"":0,""vacuous"":true},""snapshot_file_count"":7,""substrings"":{""hits"":0,""misses"":0,""negative"":[],""required"":{},""vacuous"":true},""turns_used"":18},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v1""}"	Pure Q&A session; no files touched, no commits, no stashes; expect zero-substance route
a34579ca42d529f53603a5910da8708c2550093d	9e8d634d53f9c1496112dd1dfec462fba6b29f691b490807ada35345f0c6a9f8	5409fac955e270b6eb2d8d0e91f5ae12d90c5620ab8c3fa3d3ea493df86d8052	1.0	0.0	1	ok	"{""n_runs"":1,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""extras_hits"":[],""extras_penalty"":0.0,""extras_raw"":0.0,""files"":{""missing"":[],""present"":1,""total"":1,""vacuous"":false},""forbidden"":{""hits"":[],""vacuous"":false},""latency_ms"":95507,""lock"":{""lock_present"":false},""route"":{""credit"":1.0,""expected"":""light"",""observed"":""light""},""scorer_version"":""v1"",""sections"":{""hits"":5,""total"":5,""vacuous"":false},""snapshot_file_count"":11,""substrings"":{""hits"":4,""misses"":0,""negative"":[],""required"":{""context.md"":{""missing"":[],""present"":[""feature/alpha-parser"",""src/parser.ts"",""tests/parser.test.ts"",""working tree clean""],""resolved_path"":"".agentic/context.md""}},""vacuous"":false},""turns_used"":20},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v1""}"	Clean end-of-feature; modest parser change committed; no stable facts; expect light route
a34579ca42d529f53603a5910da8708c2550093d	9e8d634d53f9c1496112dd1dfec462fba6b29f691b490807ada35345f0c6a9f8	9a692e2b799862bf74df136b954888ddc9d7f50aa0f2909f7eac7e6c01fa9720	1.0	0.0	1	ok	"{""n_runs"":1,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""extras_hits"":[],""extras_penalty"":0.0,""extras_raw"":0.0,""files"":{""missing"":[],""present"":1,""total"":1,""vacuous"":false},""forbidden"":{""hits"":[],""vacuous"":false},""latency_ms"":113309,""lock"":{""lock_present"":false},""route"":{""credit"":1.0,""expected"":""light"",""observed"":""light""},""scorer_version"":""v1"",""sections"":{""hits"":4,""total"":4,""vacuous"":false},""snapshot_file_count"":7,""substrings"":{""hits"":5,""misses"":0,""negative"":[{""file"":"".agentic/context.md#RecentFocus"",""hit"":false,""needle"":""completed""},{""file"":"".agentic/context.md#RecentFocus"",""hit"":false,""needle"":""done""}],""required"":{""context.md"":{""missing"":[],""present"":[""parser_v2.ts"",""tokenizeContinuation"",""multiline handling""],""resolved_path"":"".agentic/context.md""}},""vacuous"":false},""turns_used"":14},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v1""}"	Mid-refactor snapshot; 1 failing test; next-step pointer required in Recent Focus; expect light route
a34579ca42d529f53603a5910da8708c2550093d	9e8d634d53f9c1496112dd1dfec462fba6b29f691b490807ada35345f0c6a9f8	93456ba23f05a9bba8f895cb5acb875fd77cde9faff9ce341fc2e81ab8637dea	0.85	0.0	1	ok	"{""n_runs"":1,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""extras_hits"":["".claude/settings.local.json"","".agentic/memory.md"","".claude/tracking.md"","".claude/settings.json""],""extras_penalty"":0.15,""extras_raw"":0.4,""files"":{""missing"":[],""present"":2,""total"":2,""vacuous"":false},""forbidden"":{""hits"":[],""vacuous"":false},""latency_ms"":338704,""lock"":{""lock_present"":false},""route"":{""credit"":1.0,""expected"":""standard"",""observed"":""standard""},""scorer_version"":""v1"",""sections"":{""hits"":3,""total"":3,""vacuous"":false},""snapshot_file_count"":15,""substrings"":{""hits"":4,""misses"":0,""negative"":[],""required"":{""context.md"":{""missing"":[],""present"":[""TICK-441"",""fix/tick-441-idempotency""],""resolved_path"":"".agentic/context.md""},""findings.md"":{""missing"":[],""present"":[""webhook"",""validat""],""resolved_path"":"".claude/findings.md""}},""vacuous"":false},""turns_used"":33},""primary"":0.85,""status"":""ok""}],""scorer_version"":""v1""}"	Unpromoted Major Skeptic finding with 2 prior instances; expect standard route + findings.md growth
a34579ca42d529f53603a5910da8708c2550093d	9e8d634d53f9c1496112dd1dfec462fba6b29f691b490807ada35345f0c6a9f8	6fc832185205878ae3498db6d993318e697de124c71a2eafe1a92709852f87ed	0.85	0.0	1	ok	"{""n_runs"":1,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""extras_hits"":["".claude/tracking.md"","".claude/settings.json"","".claude/settings.local.json""],""extras_penalty"":0.15,""extras_raw"":0.3,""files"":{""missing"":[],""present"":3,""total"":3,""vacuous"":false},""forbidden"":{""hits"":[],""vacuous"":false},""latency_ms"":456154,""lock"":{""lock_present"":false},""route"":{""credit"":1.0,""expected"":""standard"",""observed"":""standard""},""scorer_version"":""v1"",""sections"":{""hits"":3,""total"":3,""vacuous"":false},""snapshot_file_count"":18,""substrings"":{""hits"":4,""misses"":0,""negative"":[],""required"":{""context.md"":{""missing"":[],""present"":[""webhook""],""resolved_path"":"".agentic/context.md""},""findings.md"":{""missing"":[],""present"":[""async""],""resolved_path"":"".claude/findings.md""},""memory.md"":{""missing"":[],""present"":[""router.ts"",""WebhookError""],""resolved_path"":"".agentic/memory.md""}},""vacuous"":false},""turns_used"":27},""primary"":0.85,""status"":""ok""}],""scorer_version"":""v1""}"	Promoted Major finding plus 2 stable architectural facts; findings.md already has 14 entries including 2 consolidation candidates; expect standard route
