commit	component_content_hash	fixture_hash	primary_score_median	primary_score_stdev	n_runs	status	diagnostic_json	description
0b1a0c90713a606c33de11cfdeee039ed21b0ae8	57b04d9f619df7ef214cc11e51e4562cd0534791f437fb98d3550a4c3807aaf9	cf2557ac1927690b47c131c6461938b61b2f9c5234a84c06ddbc626119a6af03	0.85	0.048112	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""absent"":0,""present"":[""EventStoreDB""],""total"":1,""vacuous"":false},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":34835,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":3,""missing"":[],""total"":3,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""new"",""observed"":""new"",""observed_bullets"":1,""seed_bullets"":0,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":8},""primary"":0.85,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""absent"":0,""present"":[""EventStoreDB""],""total"":1,""vacuous"":false},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":29244,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":2,""missing"":[""PostgreSQL""],""total"":3,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""new"",""observed"":""new"",""observed_bullets"":1,""seed_bullets"":0,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":6},""primary"":0.766667,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""absent"":0,""present"":[""EventStoreDB""],""total"":1,""vacuous"":false},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":31028,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":3,""missing"":[],""total"":3,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""new"",""observed"":""new"",""observed_bullets"":1,""seed_bullets"":0,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":7},""primary"":0.85,""status"":""ok""}],""scorer_version"":""v1""}"	New-entry happy path; no seeded MEMORY.md; event-store PostgreSQL+JSONB decision
0b1a0c90713a606c33de11cfdeee039ed21b0ae8	57b04d9f619df7ef214cc11e51e4562cd0534791f437fb98d3550a4c3807aaf9	eb27c74766d46b489da40eac3c64f7cad0b0a0e63c29939ece165a14c7797613	1.0	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""absent"":1,""present"":[],""total"":1,""vacuous"":false},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":31684,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":2,""missing"":[],""total"":2,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""update"",""observed"":""update"",""observed_bullets"":2,""seed_bullets"":2,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":9},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""absent"":1,""present"":[],""total"":1,""vacuous"":false},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":43597,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":2,""missing"":[],""total"":2,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""update"",""observed"":""update"",""observed_bullets"":2,""seed_bullets"":2,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":10},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""absent"":1,""present"":[],""total"":1,""vacuous"":false},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":43186,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":2,""missing"":[],""total"":2,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""update"",""observed"":""update"",""observed_bullets"":2,""seed_bullets"":2,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":8},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v1""}"	Update-in-place; seeded rate-limiter bullet at 100 rps; decision bumps to 250 rps
0b1a0c90713a606c33de11cfdeee039ed21b0ae8	57b04d9f619df7ef214cc11e51e4562cd0534791f437fb98d3550a4c3807aaf9	c73eb73833c3fc9f65b9268ad6bd7b1860075d65c43d8eed9185277fcd1aa5ae	1.0	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""hits"":0,""present"":[],""total"":0,""vacuous"":true},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":34190,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":1,""missing"":[],""total"":1,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""noop"",""observed"":""noop"",""observed_bullets"":2,""seed_bullets"":2,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":7},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""hits"":0,""present"":[],""total"":0,""vacuous"":true},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":31376,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":1,""missing"":[],""total"":1,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""noop"",""observed"":""noop"",""observed_bullets"":2,""seed_bullets"":2,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":7},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""hits"":0,""present"":[],""total"":0,""vacuous"":true},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":27751,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":1,""missing"":[],""total"":1,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""noop"",""observed"":""noop"",""observed_bullets"":2,""seed_bullets"":2,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":7},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v1""}"	Noop: same decision already captured in seeded MEMORY.md. Below-ceiling: Worker may duplicate.
0b1a0c90713a606c33de11cfdeee039ed21b0ae8	57b04d9f619df7ef214cc11e51e4562cd0534791f437fb98d3550a4c3807aaf9	7f7e5dfc0dbcbcf899e9530742996ecf08be2b63a60a9f34e31c2795f3ee9435	1.0	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":false,""observed_present"":false,""vacuous"":false},""forbidden"":{""hits"":0,""present"":[],""total"":0,""vacuous"":true},""header"":{""vacuous"":true},""latency_ms"":18197,""memory_present"":false,""mustnot"":{""hits"":[],""vacuous"":false},""required"":{""hits"":0,""missing"":[],""total"":0,""vacuous"":true},""scorer_version"":""v1"",""shape"":{""vacuous"":true},""snapshot_file_count"":1,""turns_used"":2},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":false,""observed_present"":false,""vacuous"":false},""forbidden"":{""hits"":0,""present"":[],""total"":0,""vacuous"":true},""header"":{""vacuous"":true},""latency_ms"":16489,""memory_present"":false,""mustnot"":{""hits"":[],""vacuous"":false},""required"":{""hits"":0,""missing"":[],""total"":0,""vacuous"":true},""scorer_version"":""v1"",""shape"":{""vacuous"":true},""snapshot_file_count"":1,""turns_used"":2},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":false,""observed_present"":false,""vacuous"":false},""forbidden"":{""hits"":0,""present"":[],""total"":0,""vacuous"":true},""header"":{""vacuous"":true},""latency_ms"":20239,""memory_present"":false,""mustnot"":{""hits"":[],""vacuous"":false},""required"":{""hits"":0,""missing"":[],""total"":0,""vacuous"":true},""scorer_version"":""v1"",""shape"":{""vacuous"":true},""snapshot_file_count"":1,""turns_used"":2},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v1""}"	Does-not-qualify: conversational meeting scheduling; MEMORY.md must not be created
0b1a0c90713a606c33de11cfdeee039ed21b0ae8	57b04d9f619df7ef214cc11e51e4562cd0534791f437fb98d3550a4c3807aaf9	5b04f9cf604defb8785c4af53798da39194b264c455103b23c860818ef49d11a	1.0	0.0	3	ok	"{""n_runs"":3,""per_run"":[{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""absent"":2,""present"":[],""total"":2,""vacuous"":false},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":37689,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":1,""missing"":[],""total"":1,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""new"",""observed"":""new"",""observed_bullets"":1,""seed_bullets"":0,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":8},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""absent"":2,""present"":[],""total"":2,""vacuous"":false},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":33176,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":1,""missing"":[],""total"":1,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""new"",""observed"":""new"",""observed_bullets"":1,""seed_bullets"":0,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":7},""primary"":1.0,""status"":""ok""},{""diagnostic"":{""cli_status"":""ok"",""file"":{""expected_present"":true,""observed_present"":true,""vacuous"":false},""forbidden"":{""absent"":2,""present"":[],""total"":2,""vacuous"":false},""header"":{""header_ok"":true,""invented_h2"":[],""vacuous"":false},""latency_ms"":35127,""memory_present"":true,""mustnot"":{""hits"":[],""vacuous"":true},""required"":{""hits"":1,""missing"":[],""total"":1,""vacuous"":false},""scorer_version"":""v1"",""shape"":{""credit"":1.0,""expected"":""new"",""observed"":""new"",""observed_bullets"":1,""seed_bullets"":0,""vacuous"":false},""snapshot_file_count"":3,""turns_used"":7},""primary"":1.0,""status"":""ok""}],""scorer_version"":""v1""}"	Verification discipline: decision context asserts a claim that contradicts src/cache.ts. Below-ceiling: Worker must soften or omit the contradicted claim.
